№,Идентификатор,Тип ,Название,Район
396,3024,пруд,б/н,Выборгский
397,3026,пруд,б/н,Выборгский
398,3027,пруд,б/н,Выборгский
399,3028,пруд,б/н,Выборгский
400,3029,пруд,б/н,Выборгский
401,3030,пруд,б/н,Выборгский
402,3031,пруд,б/н,Выборгский
403,3032,пруд,б/н,Выборгский
404,3033,пруд,б/н,Выборгский
405,3034,пруд,б/н,Выборгский
406,3035,пруд,б/н,Выборгский
407,3037,пруд,Серебряный,Выборгский
408,3038,пруд,б/н,Выборгский
409,3046,пруд,б/н,Выборгский
410,3047,пруд,б/н,Выборгский
411,3049,пруд,б/н,Выборгский
412,3050,пруд,б/н,Выборгский
413,3051,пруд,б/н,Выборгский
414,3052,пруд,б/н,Выборгский
415,3074,пруд,б/н,Выборгский
416,3080,пруд,б/н,Выборгский
417,3123,пруд,Ольгинский,Выборгский
418,3124,озеро,Малое,Выборгский
419,3125,озеро,Среднее (Дворцовое),Выборгский
420,3126,озеро,Большое (Осинорощинское),Выборгский
421,3127,пруд,Рубаха Наполеона,Выборгский
422,3128,озеро,Финское,Выборгский
423,3129,озеро,Нижнее Большое Суздальское,Выборгский
424,3130,озеро,Среднее Суздальское,Выборгский
425,3131,озеро,Верхнее Суздальское,Выборгский
426,3132,пруд,б/н,Выборгский
427,3133,пруд,б/н,Выборгский
428,3134,озеро,Глухое,Выборгский
429,3201,озеро,Илистое,Курортный
430,3202,озеро,Дружинное (Чертово),Курортный
431,3203,озеро,Щучье,Курортный
432,3204,пруд,б/н,Курортный
433,3205,пруд,б/н,Курортный
434,3206,пруд,б/н,Курортный
435,3207,пруд,б/н,Курортный
436,3208,озеро,Глухое,Курортный
437,3209,пруд,б/н на О.Форш,Калининский
438,3210,карьер,Орловский карьер,Приморский
439,3212,пруд,б/н на Парашютной - Мартыновской,Приморский
440,3213,пруд,буферный нижний в Юнтоловском заказнике,Приморский
441,3214,пруд,б/н в Коломягах,Приморский
442,3215,озеро,Долгое,Приморский
443,3219,пруд,Лебяжий,Петроградский
444,3220,пруд,Северный (пруд Мандолина),Петроградский
445,3221,пруд,Южный,Петроградский
446,3222,пруд,Полюстровские пруды,Калининский
447,3223,пруд,Петровский,Петроградский
448,3225,пруд,буферный верхний в Юнтоловском заказнике,Приморский
449,3226,пруд,буферный средний в Юнтоловском заказнике,Приморский
450,3227,карьер,Шуваловский карьер,Приморский
451,3228,пруд,Ферменское озеро,Выборгский
452,3230,пруд,Пруды на о. Елагин (ЦПКиО),Петроградский
453,3301,озеро,б/н,Курортный
454,3302,озеро,Болотное,Курортный
455,3303,озеро,Лесное,Курортный
456,3304,озеро,Большое (Курортный р-н),Курортный
457,3306,пруд,б/н в Удельном парке,Приморский
458,3307,пруд,б/н на Студенческой ул.,Приморский
459,3308,пруд,Петровский (пруд Гром-Камень),Приморский
460,3324,пруд,б/н,Приморский
461,3325,пруд,б/н,Приморский
462,3326,пруд,б/н,Приморский
463,3341,пруд,б/н,Петроградский
464,3342,пруд,б/н,Петроградский
465,3343,пруд,Крестовый,Петроградский
466,3346,пруд,б/н на Парашютной - Мартыновской,Приморский
467,3347,пруд,б/н,Курортный
468,3355,пруд,б/н,Курортный
469,3356,пруд,б/н,Курортный
470,3358,пруд,б/н,Курортный
471,3359,пруд,б/н,Курортный
472,3361,пруд,б/н,Курортный
473,3362,пруд,б/н,Курортный
474,3363,пруд,б/н,Курортный
475,3364,пруд,б/н,Курортный
476,3365,пруд,б/н,Курортный
477,3366,пруд,б/н,Курортный
478,3367,пруд,б/н,Курортный
479,3368,пруд,б/н,Курортный
480,3369,пруд,б/н,Курортный
481,3370,пруд,б/н,Курортный
482,3371,пруд,б/н,Курортный
483,3378,пруд,б/н,Курортный
484,3380,пруд,б/н,Курортный
485,3381,пруд,б/н,Курортный
486,3385,пруд,б/н,Курортный
487,3388,пруд,б/н,Курортный
488,3389,пруд,б/н,Курортный
489,3390,пруд,б/н,Курортный
490,3392,пруд,б/н,Курортный
491,3393,пруд,б/н,Курортный
492,3397,пруд,Полюстровские пруды,Калининский
493,3398,пруд,б/н на ул. Учительская - Светлановский пр.,Калининский
494,3399,пруд,пруд у дачи Бенуа,Калининский
495,3400,пруд,б/н на ул. Бутлерова,Калининский
496,3401,пруд,Карпиев,Центральный
497,3402,пруд,б/н,Центральный
498,3403,пруд,пруд у дачи Бенуа,Калининский
499,3501,пруд,Кронверкский канал,Кронштадтский
500,3502,пруд,Кронверкский канал,Кронштадтский
501,3503,пруд,Кронверкский канал,Кронштадтский
502,3508,пруд,Итальянский,Кронштадтский
503,3513,пруд,б/н,Адмиралтейский
504,3519,пруд,Пруд парка им. Есенина,Невский
505,3520,пруд,б/н,Адмиралтейский
506,3521,пруд,б/н,Адмиралтейский
507,3522,пруд,б/н,Адмиралтейский
508,3523,пруд,б/н,Адмиралтейский
509,3524,пруд,б/н,Адмиралтейский
510,3527,пруд,б/н,Кировский
511,3529,пруд,б/н,Невский
512,3531,пруд,б/н,Кировский
513,3532,пруд,б/н,Кировский
514,3533,пруд,пруд в саду Девятого Января,Кировский
515,3534,пруд,б/н,Невский
516,3536,карьер,Ивановский карьер,Невский
517,3539,пруд,б/н,Невский
518,3540,пруд,б/н,Московский
519,3542,пруд,б/н,Московский
520,3545,пруд,б/н,Московский
521,3548,пруд,б/н,Московский
522,3549,пруд,б/н,Московский
523,3550,пруд,б/н,Московский
524,3551,пруд,б/н,Московский
525,3552,пруд,б/н,Московский
526,3553,пруд,б/н,Московский
527,3554,пруд,б/н,Московский
528,3555,пруд,б/н,Московский
